response,TP53
1224,3.523658502
1247,5.423081406
55,5.123092847
1495,5.041597829
61,4.780074938
1418,5.243352698
563,3.634743152
361,3.767062903
1992,5.799203941
1918,5.594878687
1483,5.969507641
656,5.181606795
1946,5.825936142
1991,6.081689034
1499,5.524060649
989,5.86735086
1348,3.568892822
1024,5.596294872
2328,5.420924734
2174,5.156046187
642,3.623667195
2505,3.658482597
1720,5.645574332
1265,6.009926491
608,3.606636657
1167,3.843110218
3622,5.360252606
884,5.557549592
2561,6.15957158
1685,5.701703581
1487,6.932850015
848,5.493352922
871,3.3328192
1966,5.139126315
1102,3.961871008
969,4.836625104
1451,3.89365195
1379,5.505685825
887,5.975219641
288,5.55340618
1756,4.95478639
546,6.078793198
1081,5.687772705
303,3.668991642
1169,3.642038248
2717,6.316356808
2278,7.037616492
1265,5.205527792
1751,6.001383625
1882,5.816987528
1684,6.21156737
927,4.116807168
547,7.535303858
178,5.835767761
92,7.032682577
260,3.763116101
2967,5.767751659
187,5.526817874
186,3.561607845
1069,5.80101569
137,6.831118846
3418,6.170765102
2163,6.302394747
1919,3.911597892
1209,5.698186521
636,6.033300324
819,4.709333228
379,5.874557327
1652,5.699973226
788,6.442091412
2478,5.578046695
562,7.107284772
1011,4.14027029
982,3.789128435
356,3.894720733
118,5.646100619
1077,3.715634233
1089,6.005378351
460,6.053014559
604,3.625724782
189,5.230009438
748,5.569054316
1355,5.276692391
1204,3.769900479
83,5.894545895
377,3.941561423
945,4.991848599
462,4.784394521
541,3.69327127
1678,4.783301123
75,3.848373366
340,5.749574755
346,3.838785177
1036,5.764011734
981,5.256446123
944,6.239890414
869,5.819377087
651,5.530652918
256,5.619352776
1184,4.978320398
1184,5.701724941
1117,4.076386998
873,4.139443621
923,3.61407782
595,5.384238588
265,4.306735787
237,5.401313264
247,6.28242998
252,4.267247756
249,6.043136952
1333,4.969944959
1073,5.34190696
1073,5.236494983
414,5.660592454
2096,4.056580333
3260,4.08443228
2780,3.909217684
2259,5.276544878
2027,3.708587063
2141,3.62105907
1880,6.747848574
2068,5.954085438
2099,6.44007227
1319,5.629999879
1509,4.613827451
1748,3.728108494
1708,3.672419083
1736,5.476686387
589,3.749649631
1441,5.204824542
1470,5.172189267
1455,5.423848256
1367,6.475221953
1364,3.766480078
1128,5.437318652
842,4.710853403
1036,6.692947785
912,6.646380941
912,6.394815003
643,3.594516649
453,5.712935523
420,3.880450734
141,4.223460137
195,3.447146175
185,5.683584497
331,3.927061681
201,5.376994415
224,3.938390788
184,5.325404282
180,4.522750568
208,5.7036925
143,3.910549412
128,5.587254927
162,6.009121612
1661,5.073213236
2648,4.863809499
1877,5.168413514
894,3.745612064
2982,5.564131809
629,5.132094109
681,6.124623833
2154,3.615365167
2521,4.151396435
2521,4.799655042
1595,5.744817006
2237,3.449186059
1161,4.722932783
1497,5.715616639
129,5.458617254
1652,4.256903026
1144,4.285988851
1167,5.384410801
425,5.049335246
999,4.834576462
504,5.823513311
128,3.615071229
134,3.596286909
145,3.632007733
126,3.736641818
78,3.494248041
118,6.000089084
94,4.871807124
433,4.034238625
372,4.034714179
261,6.498704124
328,7.357598716
266,5.794885615
295,4.272357692
191,6.396009306
701,5.211095581
789,3.659481946
797,5.729144192
2196,5.292741203
836,6.048401394
772,5.160492669
580,7.636741211
507,6.485135263
89,5.088759291
81,6.138971852
1446,5.423932738
1293,6.248360338
1233,6.211961202
468,3.558235832
816,5.846669603
965,3.64495272
1503,5.855278551
268,6.266627289
885,6.640363662
574,5.784687658
68,5.884012477
9,3.417123044
1562,5.77605777
1658,5.455042957
98,5.865181995
949,3.596388833
2089,4.905905234
139,4.195829496
1013,3.748535302
2616,5.582648856
3953,4.614264558
130,5.166101466
194,3.37908601
1189,5.720790754
1018,5.247478333
1768,5.427870611
16,6.170942474
759,3.896354949
3525,7.036712242
2661,5.793648849
2788,4.742793786
2342,5.816221286
1516,3.678269478
84,4.756010583
143,4.717428446
137,5.819672069
135,3.824801747
116,5.704862781
232,5.446309824
597,5.687269843
354,3.764422642
663,5.160121626
1264,6.00400044
233,3.919269162
679,5.461639561
1645,3.761383228
1933,4.574583018
1442,5.692863524
192,3.487886391
194,4.733169074
238,5.569418627
243,3.646489824
239,5.71281685
23,5.246123428
190,4.727552611
183,5.063032611
181,4.923304633
163,5.133594727
146,4.432157006
528,6.279136295
862,5.147025542
583,3.475951203
568,5.02136228
1324,5.159428992
260,3.638931788
2218,4.707804184
379,5.242002346
1373,4.977977557
3224,5.553663742
277,6.103565075
104,4.078690116
36,3.590128428
675,3.658909216
820,5.731526101
1745,5.422136004
1955,5.778831017
493,6.331593541
1721,5.544592007
1249,3.566528389
1579,6.157277384
1259,6.045344068
1767,5.679886277
2692,5.183626144
2148,3.951569043
1213,6.268470184
594,6.561115205
1341,5.827968308
1384,4.728772406
1451,4.857297552
787,4.032191721
312,6.187658799
524,5.978076218
2742,3.695876291
2687,3.862036642
1470,4.951872785
1163,5.303423328
253,6.284684335
106,5.312868833
113,6.40794909
116,4.163848496
133,4.024801837
343,6.220384085
175,4.949026781
167,3.836779082
298,5.268263281
689,5.280991174
919,3.731130995
336,3.99703283
2467,3.856220432
148,6.05064664
4623,3.755465859
1364,6.896701209
1769,7.071309977
1059,4.449058068
3336,4.59222171
439,5.006762478
1641,3.563012352
562,6.058841791
857,4.462169984
1947,5.425151606
1353,6.279124815
1736,6.812904483
1100,5.934481134
24,6.051072495
11,5.462215176
1446,4.43764046
962,4.018556431
2143,4.053170879
1356,7.26370418
25,5.572960957
2049,4.052174983
1102,6.127511078
506,4.997794874
1007,4.561182811
1699,5.755512517
1620,3.729247732
31,3.489522401
819,6.28245317
973,3.647760659
1553,5.721808359
1126,5.545378598
31,5.510694398
1064,5.129885911
1977,5.242791634
1124,3.753926831
1033,6.008235401
91,5.52893431
365,5.406268336
1035,6.517167759
976,6.643908031
944,5.261667127
1979,5.672703293
90,3.827631508
565,6.226960559
548,5.678213483
480,5.684694267
11,6.255636469
626,4.553787585
239,5.481463059
9,3.828272387
1732,6.508796766
1843,5.724298383
1081,3.624660383
1558,5.767760952
454,3.659868648
760,5.036644672
549,4.991548055
2587,4.039860671
396,4.390933691
1492,4.110226649
31,6.281964117
1157,7.470677987
92,6.753586982
365,6.052651294
1369,6.766473102
608,5.955884347
1278,3.633594934
90,6.351156404
882,7.035500211
942,6.795356698
820,5.803331507
2399,6.190816496
1360,5.578731663
1435,4.128128876
3095,3.884038943
1172,5.620633413
24,7.058594105
1025,3.45916868
948,7.007757366
2077,7.133970148
16,6.479458099
514,4.501598141
567,8.529835027
1815,6.54688928
555,6.601332146
555,6.083172522
1276,5.373376964
1276,5.28917631
889,6.450838213
889,6.454231258
1053,5.421177524
517,3.703280718
2606,3.986596113
2031,6.603217929
1914,5.628189752
1189,4.822090362
950,5.812411382
699,5.28242899
741,6.586136206
741,6.049951554
685,5.584114492
526,3.943825251
376,3.72058746
360,6.510762961
374,3.790911522
454,6.749383253
254,3.641118933
219,4.012509116
163,6.018639114
1053,4.455018869
2621,6.51338208
2621,5.984286327
1977,6.025718311
1900,5.462487545
1372,5.825172018
148,4.509069425
1285,3.564076787
360,6.50690208
349,7.562323489
297,6.71278579
1158,5.681806636
1579,3.996692166
1103,6.125907504
75,4.110206254
477,5.8828946
8,5.176188066
1462,5.177078227
1366,5.338072451
1058,3.998581736
185,4.000319508
1114,5.409390289
36,5.050421957
1751,5.515411465
738,4.693778637
914,5.474721555
1484,3.831111885
1386,3.915748019
918,3.95793788
571,6.811018411
683,5.542080488
204,4.282214463
1341,5.573814852
66,5.767054313
874,5.014972412
884,4.804704054
655,3.639318626
695,6.07011603
686,5.139024487
260,5.674486366
914,4.947962014
783,3.960943708
847,6.975470952
737,6.305665596
751,6.067194877
1066,3.782845079
1004,6.890324866
897,3.900671065
0,3.628597278
906,5.832806108
788,7.097720482
763,7.117557818
724,3.788558441
657,6.263093366
68,6.314559458
638,6.120613467
557,4.379555656
624,6.054805667
431,6.318121435
184,4.087521921
491,6.414230245
349,6.275834504
792,6.035910765
722,6.557745661
287,4.112925279
230,4.865965612
227,6.532311332
681,5.640846852
45,4.514895931
731,6.541711097
346,3.919256975
643,5.74009469
53,5.751019924
679,7.604174378
881,6.326954019
762,5.271719334
761,3.952947998
5480,5.910137549
2437,5.726966901
679,5.799655042
3532,4.183512569
286,6.625234382
1046,6.113736762
65,3.740560845
164,6.320996749
1362,6.510682327
338,4.957904413
245,6.783693587
637,3.564124132
955,6.680184583
564,5.440082412
848,5.635045955
132,6.324368184
966,3.851321186
866,5.246830753
1484,6.160891922
1364,4.067170253
1089,5.94664262
74,7.443911145
1024,6.86763431
1329,3.486276147
43,3.89888642
256,4.301718618
176,3.955934884
347,4.335113077
396,4.765339725
276,6.393785178
1038,5.295314367
952,4.107872031
1126,3.959384884
1292,6.308881981
1488,5.671713172
1721,5.192554096
2060,3.850617318
1321,4.289088764
479,5.379653348
1161,5.756184305
60,5.706676438
168,6.10412233
441,6.398526082
547,4.200704527
121,6.150748399
931,3.898601756
931,3.576375816
1212,5.76586536
932,7.658658446
36,3.772819154
1398,6.27699021
1381,6.432918793
146,4.178807069
145,5.8503016
1573,6.629653442
2182,5.67925189
1875,5.329384671
1875,5.382325466
1776,6.194463057
1844,4.580152736
1992,5.788732967
1688,3.702000053
197,5.337558887
2337,6.475005308
629,4.009415015
1354,5.907671415
3824,5.242577963
676,5.642310986
1579,3.866139136
483,5.576340637
193,6.226334279
945,6.580422935
261,6.668788055